,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123
24245,3,3,4,4,4,3,3,3,4,3,4,4,3,4,3,2
24246,4,4,4,2,2,3,3,4,4,3,4,2,4,3,3,3
24247,4,4,2,3,3,4,3,4,3,4,3,3,1,4,2,4
24248,3,4,3,2,2,3,3,4,4,2,4,3,2,4,2,4
24249,3,4,4,2,4,4,2,4,4,3,2,2,4,4,2,2
24250,3,3,4,3,3,3,3,3,3,3,3,3,4,2,2,3
24251,2,4,4,-1,4,3,3,4,3,2,2,3,4,3,3,4
24252,3,4,2,3,2,3,3,4,3,3,2,3,2,2,3,2
24253,4,4,4,3,3,4,3,3,4,2,3,2,4,4,3,3
24254,4,4,3,4,2,3,4,3,3,4,3,4,4,2,4,3
24255,3,4,1,4,4,3,4,3,3,3,4,1,3,3,4,2
24256,2,3,2,3,2,4,3,4,3,3,3,3,3,2,3,2
24257,3,4,3,3,2,4,4,2,3,1,4,4,4,4,4,2
24258,4,3,3,3,3,4,4,4,4,3,3,3,4,2,3,3
24259,4,4,2,4,4,4,3,4,4,3,3,4,3,2,1,4
24260,4,3,4,4,4,3,4,3,3,3,4,2,4,2,4,2
24261,2,3,4,1,1,3,3,3,3,3,4,1,4,2,2,1
24262,4,4,4,2,4,3,3,4,3,2,4,3,4,1,3,3
24263,3,4,2,4,4,4,3,3,4,4,4,4,4,4,3,3
24264,4,4,4,2,4,3,4,3,3,4,4,2,4,3,3,3
24265,4,3,4,4,4,3,4,4,4,4,4,4,4,2,2,4
24266,3,4,1,4,1,4,3,4,4,3,3,2,3,1,4,3
24267,3,4,4,2,2,3,4,3,4,4,4,3,4,4,4,3
24268,3,4,3,3,3,4,4,4,3,2,4,2,4,2,4,4
24269,4,3,4,4,4,3,3,4,3,3,3,2,4,3,3,4
24270,3,3,4,3,2,3,3,3,3,4,2,3,2,4,2,2
24271,3,4,3,4,3,4,1,3,4,4,4,4,2,4,1,3
24272,3,3,3,3,3,4,2,4,3,4,4,3,1,2,4,3
24273,3,4,1,4,1,4,4,4,3,3,4,2,2,2,2,1
24274,3,4,3,3,3,4,3,4,3,2,4,2,3,3,3,2
24275,3,3,4,2,4,4,2,3,4,4,4,4,2,1,1,4
24276,3,4,3,3,3,3,3,3,4,3,2,2,2,2,2,3
24277,4,3,2,1,3,3,3,2,4,3,3,3,3,4,4,4
24278,4,4,2,1,2,4,4,4,1,4,4,1,1,3,3,3
24279,3,4,2,4,2,3,4,3,4,3,3,4,1,4,1,2
24280,2,4,1,4,1,3,3,3,4,1,4,3,4,2,4,4
24281,3,4,3,3,3,4,3,4,4,3,3,4,2,1,4,3
24282,4,4,3,4,3,3,2,3,3,4,3,4,3,2,3,3
24283,4,4,3,4,2,4,3,2,4,4,3,4,3,4,1,3
24284,3,4,3,3,3,4,3,3,4,2,3,2,4,4,3,3
24285,3,3,4,3,4,4,4,2,3,4,4,2,1,1,3,4
24286,3,1,4,1,4,3,4,3,1,3,4,1,4,2,2,3
24287,4,4,4,2,4,3,3,3,4,2,4,4,4,4,2,2
24288,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4
24289,3,4,3,4,3,4,4,3,3,3,4,3,2,3,2,3
24290,4,4,3,3,3,3,4,4,4,1,3,2,3,2,4,4
24291,3,3,4,1,3,3,2,3,4,3,4,1,2,2,2,3
24292,4,4,3,2,3,3,4,3,3,3,4,4,1,2,3,3
24293,4,4,4,3,1,3,4,4,3,3,4,3,3,4,1,4
24294,3,4,3,2,2,3,3,4,4,3,4,2,2,3,3,3
24295,3,4,4,3,2,3,3,3,4,4,3,3,4,4,4,4
24296,3,4,2,3,2,4,3,3,4,4,3,3,4,4,3,3
24297,3,3,3,4,3,4,3,3,4,2,2,3,4,4,4,3
24298,3,3,4,2,2,3,4,4,3,4,2,3,4,2,2,4
24299,4,4,2,4,4,4,3,4,3,4,3,3,3,4,3,2
24300,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24301,1,3,2,1,-1,3,3,4,-1,-1,3,4,3,4,4,4
24302,3,4,3,3,3,4,2,4,4,3,4,2,2,2,4,4
24303,3,3,3,3,3,4,2,4,4,4,2,3,2,4,3,3
24304,4,4,3,4,3,3,3,3,4,4,1,4,3,4,2,4
24305,3,4,3,4,3,3,2,3,3,4,4,3,3,4,2,3
24306,3,4,4,2,3,4,4,4,4,3,-1,2,3,3,4,4
24307,3,4,3,3,4,3,3,3,4,3,4,3,4,3,4,4
24308,4,3,1,2,1,4,3,4,3,4,3,2,3,3,2,1
24309,3,3,1,3,1,3,3,4,3,4,4,2,4,3,2,1
24310,4,4,3,3,4,3,3,3,4,2,4,3,2,3,4,4
24311,3,4,3,3,3,3,4,4,3,3,2,3,3,4,2,3
24312,3,4,4,4,3,4,1,3,4,3,4,2,4,2,2,3
24313,4,4,1,2,1,3,4,4,4,1,4,2,2,4,4,4
24314,3,4,3,3,2,3,3,3,4,4,3,3,4,4,2,3
24315,3,3,2,2,2,3,4,3,3,4,4,3,3,4,4,4
24316,3,2,3,4,4,3,3,3,4,3,3,4,4,4,1,3
24317,4,4,4,2,4,4,3,4,4,4,4,3,4,2,3,4
24318,3,4,4,2,4,3,3,2,4,3,4,4,3,2,1,4
24319,3,3,1,2,1,4,4,4,4,3,4,2,4,2,2,1
24320,4,3,3,2,3,4,3,3,4,3,3,2,3,3,3,3
24321,4,4,2,4,2,4,3,3,4,4,3,3,3,3,2,4
24322,2,4,3,4,4,4,3,4,3,3,3,2,4,2,4,2
24323,3,4,3,2,3,4,3,4,4,3,4,2,4,1,3,2
24324,3,4,3,3,3,3,3,3,4,4,3,4,2,3,2,3
24325,3,3,3,4,4,4,3,4,4,2,4,2,3,3,2,2
24326,4,4,4,4,3,4,4,2,3,1,4,2,4,1,4,3
24327,3,3,3,2,2,3,4,3,4,4,4,2,4,4,2,4
24328,4,4,3,4,2,3,4,3,4,3,4,4,4,2,2,3
24329,4,4,3,4,4,3,3,4,4,3,4,2,4,4,2,3
24330,3,4,3,4,2,4,4,3,4,3,1,4,4,3,3,2
24331,3,4,3,3,4,4,4,3,3,3,3,2,2,4,2,3
24332,3,3,4,3,4,3,3,4,4,4,4,4,3,3,4,4
24333,3,3,2,2,2,3,3,3,4,3,3,3,2,2,3,4
24334,3,3,2,3,2,4,4,4,4,4,2,3,3,4,2,3
24335,4,4,4,4,3,3,4,3,4,1,4,4,4,3,3,3
24336,4,4,3,4,3,2,4,4,4,3,4,4,2,3,4,2
24337,4,3,4,2,2,3,4,3,3,3,3,3,4,3,2,2
24338,3,4,3,3,2,3,3,3,3,3,4,3,3,3,3,3
24339,4,3,4,4,2,3,3,3,4,4,4,2,4,3,3,3
24340,3,3,4,2,4,4,3,3,4,4,3,2,3,2,4,4
24341,4,4,4,2,4,1,3,3,3,3,4,4,3,4,3,2
24342,3,3,3,3,4,4,3,4,4,4,2,4,4,3,3,4
24343,3,3,3,3,3,3,3,4,3,2,3,2,4,3,2,3
24344,4,4,3,2,3,4,3,3,4,3,4,2,1,4,4,3
24345,4,4,4,2,3,2,3,4,4,2,3,4,3,4,2,3
24346,4,4,4,3,3,2,1,4,4,4,3,4,3,3,3,3
24347,4,4,2,4,2,3,4,4,4,4,4,4,4,3,3,2
24348,3,4,4,4,2,3,3,3,3,4,4,3,4,4,4,4
24349,3,4,3,4,3,3,3,3,4,4,3,4,2,1,4,4
24350,4,3,4,2,4,3,3,4,3,3,1,2,4,1,4,4
24351,3,2,3,2,3,3,4,3,3,4,4,2,4,4,2,3
24352,3,4,3,2,3,4,3,3,3,3,3,4,2,3,4,3
24353,3,4,2,4,4,3,4,1,4,4,4,2,3,2,3,3
24354,2,4,3,3,3,4,1,3,3,3,4,2,4,2,3,3
24355,4,4,3,3,4,4,2,4,4,2,4,2,3,4,3,4
24356,2,3,2,4,4,3,4,3,4,3,4,4,4,2,2,4
24357,3,4,3,4,4,3,3,3,4,4,4,3,4,4,3,3
24358,3,3,3,3,3,4,3,4,2,3,4,4,2,4,4,4
24359,3,4,3,2,3,4,4,4,4,3,3,2,4,1,4,3
24360,4,4,2,4,2,3,4,4,4,2,4,4,4,2,2,2
24361,4,3,1,2,1,4,4,3,4,2,4,2,4,4,4,4
24362,3,4,4,3,4,3,3,3,4,4,3,4,2,3,2,2
24363,3,4,3,3,3,3,4,3,3,3,3,3,3,2,2,3
24364,3,4,3,3,2,4,4,4,4,2,3,3,3,3,3,3
24365,4,4,3,3,3,3,4,3,2,4,4,2,4,2,2,3
24366,3,3,1,3,1,4,3,4,3,3,4,3,3,4,3,4
24367,3,3,4,3,2,4,3,4,3,4,4,3,4,2,2,3
24368,2,4,4,1,4,3,2,3,4,3,4,1,3,3,2,2
24369,4,3,3,3,2,4,3,4,3,4,4,3,1,3,2,4
24370,2,4,3,2,3,4,4,4,3,3,4,2,3,3,1,3
24371,4,3,3,2,3,3,4,4,4,3,4,2,3,1,3,3
24372,4,4,4,4,3,4,4,3,3,3,4,2,3,1,3,4
24373,3,4,3,4,3,3,4,3,4,3,4,4,3,2,4,3
24374,3,3,3,3,3,3,4,3,3,3,4,3,4,4,3,3
24375,3,4,4,4,2,3,4,3,3,4,4,2,4,4,3,2
24376,3,4,3,3,4,3,4,3,2,4,3,4,4,2,4,3
24377,4,4,3,4,3,3,3,3,4,3,3,4,3,3,2,3
24378,3,1,1,1,1,4,4,3,3,2,4,1,4,2,3,1
24379,4,2,3,3,2,4,4,3,4,3,4,3,2,2,3,3
24380,3,4,3,4,3,4,3,3,4,4,3,2,4,3,3,4
24381,3,3,4,4,3,3,4,3,3,3,4,2,2,2,4,4
24382,4,3,3,3,4,3,3,3,2,1,3,4,4,2,1,4
24383,3,4,4,3,4,3,3,3,4,2,3,4,4,3,3,4
24384,4,4,3,3,3,3,4,3,3,4,4,2,2,4,4,3
24385,4,4,3,2,3,4,4,4,3,4,4,2,3,3,4,4
24386,3,4,3,4,4,3,3,3,4,3,4,4,4,2,2,3
24387,3,3,3,2,2,3,4,4,4,3,4,2,2,4,4,2
24388,4,4,3,2,3,4,3,4,4,1,1,1,2,2,4,4
24389,3,4,2,3,2,3,3,3,3,4,4,2,3,1,2,4
24390,4,4,4,3,2,3,3,3,4,3,4,1,1,1,1,3
24391,2,4,4,1,1,1,3,4,3,2,3,1,4,2,3,3
24392,3,4,4,4,4,4,4,3,3,4,4,3,3,3,4,4
24393,3,3,4,3,3,3,3,3,3,3,4,2,4,3,3,3
24394,3,4,3,4,3,3,2,3,4,4,4,2,4,3,2,3
24395,3,4,3,3,4,4,3,4,4,-1,4,3,4,2,3,1
24396,4,3,3,3,2,3,3,3,3,3,4,2,2,2,2,2
24397,3,4,3,2,3,4,3,4,3,2,3,2,4,2,3,2
24398,3,3,4,3,4,3,4,4,3,4,4,3,1,2,2,4
24399,3,3,4,4,4,4,4,3,3,2,4,2,4,3,4,1
24400,4,4,1,4,1,4,4,3,3,3,4,3,2,3,2,4
24401,3,4,3,2,1,3,3,4,3,3,3,4,2,3,2,4
24402,4,3,4,3,3,3,1,1,4,4,4,3,4,3,2,4
24403,3,4,2,2,4,3,4,3,3,4,4,2,4,4,3,3
24404,3,4,4,4,4,4,3,4,3,4,3,2,3,2,2,4
24405,3,3,3,2,4,4,3,3,4,3,4,3,3,4,4,4
24406,3,4,3,4,3,4,4,2,3,3,3,2,3,3,3,4
24407,3,4,2,3,3,3,3,3,4,1,4,4,3,2,1,4
24408,2,4,4,3,3,2,3,4,4,2,3,2,4,3,4,4
24409,3,3,2,2,2,3,4,4,3,3,4,2,3,3,2,4
24410,4,4,1,3,1,3,4,4,3,3,4,3,3,1,4,1
24411,4,3,2,4,2,4,3,4,4,4,2,2,4,4,3,3
24412,3,4,4,2,4,1,3,3,4,3,4,2,2,2,3,3
24413,4,4,3,4,3,2,4,3,3,4,3,3,3,3,4,3
24414,4,4,3,3,2,3,3,3,3,3,4,4,3,2,2,4
24415,3,4,4,4,4,4,4,3,3,4,4,2,3,3,2,3
24416,3,3,1,2,1,4,4,4,3,2,1,2,1,2,2,1
24417,2,1,4,1,4,4,2,4,1,3,1,1,2,3,2,3
24418,3,2,4,3,4,4,2,4,4,4,3,2,4,2,3,3
24419,4,4,3,4,2,4,3,4,4,3,3,4,4,2,4,3
24420,2,3,1,3,1,3,3,3,3,4,4,3,4,1,4,4
24421,2,4,4,1,4,3,4,3,3,1,4,1,2,4,4,3
24422,3,3,4,4,3,4,4,3,4,3,4,3,3,3,3,4
24423,3,3,4,4,4,3,4,3,3,4,4,2,2,4,4,3
24424,1,4,3,2,3,4,3,4,4,4,4,4,4,4,2,3
24425,3,4,3,1,3,4,4,3,4,3,4,1,3,4,4,3
24426,4,4,4,4,4,4,3,3,4,4,4,3,1,4,3,4
24427,3,4,4,4,4,4,4,4,4,3,4,4,3,3,2,4
24428,4,4,3,2,4,3,4,3,3,3,4,3,4,3,4,3
24429,3,3,2,3,2,3,4,4,4,4,3,4,4,3,2,2
24430,4,3,3,2,3,3,4,3,3,4,4,4,4,2,3,2
24431,4,4,4,3,2,3,3,3,3,3,4,2,3,4,3,2
24432,3,4,3,4,4,4,3,3,4,4,4,2,2,4,4,4
24433,4,4,3,2,3,4,3,3,3,4,4,2,3,1,1,3
24434,3,4,4,4,2,3,3,4,3,3,4,3,4,4,3,3
24435,3,3,4,3,4,3,4,4,3,3,4,3,4,3,2,4
24436,3,3,4,3,4,3,3,3,2,3,4,2,2,1,4,4
24437,4,4,2,3,2,3,3,3,2,3,4,2,2,1,4,3
24438,3,3,4,4,2,3,4,3,3,4,4,4,3,2,3,4
24439,2,3,3,3,3,3,4,4,3,3,4,3,4,4,3,3
24440,4,3,3,2,3,3,3,4,4,2,4,2,2,3,2,4
24441,3,4,3,3,3,3,3,4,3,3,4,4,4,2,2,2
24442,3,4,1,3,1,4,4,4,3,2,4,3,2,1,1,3
24443,3,4,2,3,2,4,3,3,4,4,4,4,3,2,4,4
24444,4,4,2,4,2,4,1,4,4,4,4,2,4,2,3,3
24445,4,4,2,2,3,3,3,3,4,1,4,2,2,2,2,3
24446,4,3,4,3,2,4,3,3,4,2,4,2,3,4,3,4
24447,3,4,2,3,3,4,4,3,4,3,4,3,2,2,2,3
24448,2,4,4,4,4,3,3,4,4,3,3,4,3,4,3,3
24449,4,4,1,3,1,4,4,4,4,4,4,2,2,1,4,1
24450,2,4,3,3,3,4,4,4,3,2,2,4,4,3,4,3
24451,3,4,3,3,2,3,3,4,4,4,4,2,4,1,3,3
24452,4,4,3,4,4,3,4,3,3,3,4,3,2,3,3,3
24453,4,3,3,3,3,3,3,4,3,2,4,3,4,2,1,4
24454,4,4,3,3,3,3,3,3,4,2,2,3,3,2,3,4
24455,3,3,3,3,4,3,3,4,3,4,2,3,3,4,3,4
24456,4,4,3,4,3,3,3,4,3,3,4,3,3,3,4,3
24457,3,3,4,4,4,4,3,4,4,3,3,3,3,3,4,4
24458,3,4,2,2,3,4,4,3,3,2,4,2,2,4,4,3
24459,3,3,4,2,4,4,2,4,4,3,4,2,3,4,2,4
24460,3,4,3,4,2,3,3,3,3,3,4,2,3,3,4,3
24461,4,4,2,3,4,4,3,4,3,3,3,2,2,2,3,2
24462,4,4,3,2,3,4,3,3,4,3,2,2,2,4,2,3
24463,3,3,1,3,1,3,3,3,3,3,4,3,4,4,3,4
24464,4,4,3,3,4,3,4,3,2,4,4,4,3,3,3,4
24465,4,4,4,2,4,3,4,3,2,3,4,3,3,3,1,4
24466,3,4,4,3,3,3,2,4,3,3,4,2,4,4,4,3
24467,3,2,4,4,2,3,4,3,4,4,4,3,4,3,3,3
24468,4,4,3,4,3,4,3,3,4,3,2,2,3,3,2,4
24469,3,4,2,2,2,3,4,4,4,3,4,2,4,4,3,2
24470,4,3,3,2,2,3,3,4,3,4,4,3,4,3,3,4
24471,3,4,3,4,3,3,3,2,4,4,4,3,1,2,3,3
24472,3,3,3,4,3,4,3,3,4,3,4,2,-1,2,3,3
24473,3,3,2,2,2,4,4,4,4,4,4,2,4,4,2,2
24474,3,4,3,4,3,4,1,3,4,3,4,3,3,3,3,3
24475,3,3,4,3,4,3,3,4,4,3,3,3,3,3,3,4
24476,3,3,2,2,4,3,4,3,3,3,4,3,3,3,3,3
24477,3,3,4,4,3,4,3,3,4,4,4,4,4,2,2,3
24478,4,4,4,2,4,4,4,4,4,3,4,3,3,4,3,3
24479,3,4,4,3,3,3,4,3,2,3,3,2,2,2,4,4
24480,4,2,2,2,2,4,3,4,4,3,3,2,3,2,3,4
24481,3,4,4,3,4,4,1,3,4,4,1,3,2,3,1,4
24482,3,4,4,2,4,2,3,4,3,3,4,3,1,3,3,3
24483,3,3,4,4,4,3,3,3,4,4,2,2,4,4,2,2
24484,3,4,4,2,2,3,4,3,3,3,4,2,4,2,3,4
24485,3,4,3,1,2,4,3,3,3,4,4,1,4,4,4,2
24486,3,4,4,3,4,3,3,4,4,3,3,2,2,3,3,3
24487,3,4,3,3,4,4,4,4,3,3,3,2,4,3,2,4
24488,3,4,3,3,4,3,4,3,2,4,3,3,3,3,2,3
24489,3,4,4,3,4,3,3,4,4,3,1,3,4,4,4,3
24490,4,3,2,2,3,4,1,4,3,4,1,3,4,2,4,3
24491,3,4,4,3,2,4,2,3,4,4,4,3,4,4,4,4
24492,3,3,3,3,3,3,3,3,4,2,4,2,2,2,2,4
24493,4,3,2,2,2,4,4,4,4,4,3,2,4,2,3,3
24494,4,4,2,3,2,3,3,2,4,3,4,3,4,4,3,4
24495,1,4,1,3,1,3,3,4,3,4,4,3,3,4,3,4
24496,3,4,3,4,3,4,3,3,4,3,4,2,3,3,2,3
24497,2,4,3,4,3,3,2,4,3,4,4,3,4,3,1,3
24498,4,4,3,3,3,3,4,4,3,3,3,3,4,2,2,3
24499,4,4,3,2,2,4,3,4,3,3,3,4,3,3,3,4
24500,3,-1,3,3,3,3,3,4,4,3,4,4,2,2,3,3
24501,4,4,3,4,2,4,3,4,4,3,3,4,2,4,4,4
24502,3,4,3,2,3,3,3,3,4,4,4,4,4,3,2,3
24503,3,4,2,3,4,4,4,4,3,3,4,3,4,4,2,3
24504,4,4,3,4,3,3,2,3,4,4,4,4,4,4,2,3
24505,3,2,3,2,1,4,4,4,4,4,4,3,2,2,2,2
24506,3,4,1,4,1,4,3,4,4,1,4,4,4,2,2,1
24507,4,3,3,2,2,3,3,3,3,4,3,3,2,4,2,4
24508,3,4,2,2,2,3,4,4,4,4,4,2,4,1,3,2
24509,4,4,4,3,4,3,3,3,3,4,4,3,3,2,3,2
24510,3,3,3,3,2,3,3,3,3,4,4,2,4,3,3,3
24511,4,4,3,2,3,3,4,4,3,4,4,2,2,2,4,4
24512,3,3,4,2,3,4,3,4,3,3,3,4,3,3,4,3
24513,4,3,3,1,3,4,4,3,3,3,4,1,3,2,3,3
24514,3,4,3,4,3,3,3,3,3,3,3,4,3,2,3,4
24515,3,4,3,3,2,3,3,4,4,4,3,2,3,2,2,3
24516,1,4,3,3,3,3,4,3,3,3,4,2,4,2,3,4
24517,3,3,3,2,2,3,3,4,3,3,4,3,4,3,3,2
24518,3,3,3,2,4,3,3,3,2,3,4,4,4,2,3,3
24519,3,4,3,4,4,3,3,4,4,1,1,4,4,2,3,3
24520,4,4,4,4,3,4,4,4,4,2,3,3,3,3,4,4
24521,3,3,4,1,2,3,3,4,4,4,3,1,4,3,4,3
24522,3,4,2,2,2,3,3,4,4,2,4,2,3,4,2,4
24523,3,4,3,3,2,3,3,3,3,3,3,2,3,3,4,4
24524,4,4,3,3,3,2,3,4,4,2,4,4,4,3,2,3
24525,4,4,2,3,3,2,3,4,4,4,3,4,3,4,3,2
24526,2,4,4,3,3,3,3,3,3,4,3,3,4,4,2,4
24527,4,2,3,3,3,3,4,3,4,3,4,4,3,4,3,4
24528,3,3,2,2,1,4,3,3,3,4,4,2,2,2,4,2
24529,3,4,3,3,2,4,4,3,3,2,4,2,4,3,2,4
24530,3,4,3,2,4,4,4,2,3,1,2,2,4,2,2,3
24531,4,4,2,3,2,3,3,4,3,4,1,3,4,3,1,4
24532,4,4,4,2,4,3,3,3,4,4,4,4,4,2,4,3
24533,4,4,4,4,4,3,3,3,3,3,3,4,2,4,2,2
24534,1,2,1,2,1,4,3,4,4,3,3,3,3,2,3,1
24535,3,4,2,3,3,3,3,4,3,2,4,2,2,3,3,3
24536,2,3,3,1,3,4,2,4,4,4,4,3,2,3,2,3
24537,2,4,4,1,4,4,2,4,1,4,4,1,3,1,2,4
24538,3,4,3,4,3,3,3,3,4,4,3,4,2,4,3,3
24539,3,3,4,3,2,4,3,4,4,3,2,4,4,4,3,3
24540,3,3,2,3,2,3,3,4,3,2,4,3,1,2,3,2
24541,3,3,4,2,2,3,4,4,3,3,4,2,3,4,3,4
24542,2,4,3,1,2,4,3,4,1,4,4,1,3,2,3,3
24543,4,4,4,2,4,4,4,2,4,3,4,2,4,4,4,4
24544,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24545,3,3,4,1,4,3,3,3,3,3,4,1,1,1,4,2
24546,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24547,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24548,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24549,3,4,4,1,4,3,4,3,4,4,4,1,1,3,2,4
24550,3,3,4,4,4,3,4,3,3,4,4,3,3,2,2,2
24551,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24552,4,4,3,2,3,4,2,3,4,2,3,3,4,2,1,4
24553,3,3,1,2,1,4,4,3,4,4,4,2,4,2,4,1
24554,2,3,1,2,1,4,4,2,4,4,3,3,1,4,2,3
24555,3,2,4,4,2,4,3,2,4,3,3,2,3,3,2,2
24556,3,4,4,2,4,4,2,4,3,4,4,2,4,4,3,4
24557,3,4,3,3,2,3,3,3,4,3,4,4,4,3,2,2
24558,4,4,2,3,2,4,3,3,3,3,3,4,3,4,3,3
24559,4,2,3,4,3,4,4,3,4,4,4,2,2,3,4,4
24560,3,4,3,4,2,4,4,3,4,3,3,3,2,4,4,4
24561,4,4,2,2,2,3,1,4,4,3,4,4,1,2,2,2
24562,3,4,4,2,2,3,3,2,4,4,4,4,3,2,2,4
24563,3,4,4,2,1,3,1,4,4,3,4,4,2,2,4,4
24564,2,3,3,2,3,4,3,4,4,2,3,2,2,4,1,3
24565,4,3,2,4,3,4,3,3,4,3,4,3,1,3,3,3
24566,3,4,4,3,3,2,4,4,4,3,4,2,4,4,4,3
24567,4,4,4,4,2,3,3,3,3,3,4,2,3,4,2,3
24568,3,3,4,2,2,3,4,4,4,2,4,3,3,3,4,3
24569,4,3,4,2,4,3,3,3,2,4,4,2,4,2,2,4
24570,3,3,2,4,2,3,4,4,3,3,1,3,4,3,2,4
24571,3,4,1,4,1,3,4,4,4,4,4,2,3,3,1,1
24572,3,4,3,3,4,3,4,4,3,3,4,3,4,4,4,2
24573,4,4,3,2,2,3,3,4,4,2,4,4,4,2,4,3
24574,3,3,3,1,3,3,4,3,3,3,3,1,4,4,4,2
24575,3,4,2,3,4,4,3,3,4,4,4,3,1,4,1,3
24576,2,4,2,2,2,3,3,3,3,1,3,2,3,2,4,4
24577,3,4,3,2,3,4,4,4,3,4,4,2,4,2,3,4
24578,4,3,3,3,3,4,3,4,3,3,4,2,2,2,2,2
24579,4,4,2,4,4,3,4,3,4,3,4,2,3,3,2,4
24580,4,4,3,4,2,4,4,4,3,3,4,3,3,4,3,2
24581,4,4,4,2,2,3,4,3,4,2,2,3,3,4,4,3
24582,2,4,3,4,2,3,4,3,3,3,2,3,4,2,3,2
24583,2,3,4,2,4,3,2,4,3,4,4,3,1,3,4,3
24584,3,4,4,4,1,4,3,2,4,3,3,1,4,1,1,1
24585,4,4,3,3,2,4,3,3,4,3,4,3,4,4,1,3
24586,3,4,3,4,4,4,3,3,4,4,2,4,4,2,2,4
24587,4,4,4,3,2,3,4,3,3,4,4,3,3,4,2,3
24588,3,4,3,2,2,4,4,4,4,4,1,2,4,1,3,4
24589,3,4,4,3,4,3,3,3,3,4,3,3,3,2,3,4
24590,4,3,3,3,3,3,3,4,4,2,4,2,3,3,4,4
24591,4,4,4,4,3,3,4,3,3,4,1,3,4,4,1,4
24592,4,4,3,4,3,4,3,3,4,4,4,1,1,3,3,1
24593,4,3,3,3,4,4,2,3,4,3,4,4,4,4,2,2
24594,3,-1,-1,1,3,3,-1,1,4,2,3,3,2,3,2,3
24595,2,1,1,1,1,4,4,4,1,4,4,1,1,2,4,1
24596,3,4,3,2,3,4,4,4,3,2,4,2,3,4,3,3
24597,4,4,2,2,3,4,3,4,4,1,3,3,4,4,2,4
24598,3,4,3,4,3,3,4,3,4,3,3,2,4,4,4,3
24599,3,4,2,3,3,4,3,3,3,4,3,3,4,2,3,4
24600,4,4,3,2,3,4,2,4,4,4,4,2,3,3,3,3
24601,3,4,2,2,2,3,3,4,4,4,4,2,2,2,2,3
24602,4,3,4,2,4,2,3,3,4,3,4,2,2,3,2,2
24603,4,3,2,2,1,4,4,3,4,4,4,1,4,4,3,4
24604,3,4,4,3,3,3,4,3,3,4,4,3,2,3,1,4
24605,1,4,3,2,3,4,3,3,4,4,2,2,4,4,2,3
24606,4,4,4,1,4,4,2,3,3,3,2,1,3,4,2,4
24607,3,4,3,4,3,3,4,3,2,3,4,3,2,4,3,2
24608,3,4,3,4,3,4,3,3,4,3,4,2,2,3,4,3
24609,3,4,4,3,2,3,4,4,3,3,4,3,2,4,2,2
24610,3,3,3,3,2,3,3,4,4,3,4,2,3,4,2,3
24611,3,4,3,4,3,4,4,3,3,3,4,3,4,3,3,3
24612,2,4,3,3,2,4,3,4,4,4,4,3,3,4,2,3
24613,3,4,3,4,4,3,4,1,3,1,4,4,4,1,3,4
24614,3,4,4,1,4,2,4,4,1,3,4,1,4,2,2,2
24615,3,4,4,4,4,3,4,3,4,2,4,4,3,4,3,3
24616,3,3,4,4,4,4,4,4,4,3,4,2,4,1,1,4
24617,3,4,4,4,4,3,3,3,4,4,4,4,4,3,3,4
24618,4,3,3,4,2,4,4,3,4,3,3,2,3,4,1,4
24619,3,4,3,4,2,3,3,4,4,3,4,2,2,4,4,3
24620,3,4,3,4,3,3,4,3,3,3,4,4,2,4,1,3
24621,4,2,2,4,1,4,3,4,3,3,4,2,2,1,3,3
24622,3,3,4,3,2,4,3,4,4,3,2,3,3,4,3,3
24623,3,4,3,2,3,4,4,2,3,3,3,2,4,4,3,3
24624,2,4,4,4,4,4,2,3,3,3,4,2,1,4,4,2
24625,3,3,4,4,3,4,3,3,4,4,2,4,4,3,4,3
24626,4,4,4,3,4,3,4,4,4,4,4,2,4,1,4,3
24627,3,2,4,4,4,3,3,3,3,2,4,2,3,3,2,4
24628,4,3,4,2,3,3,3,3,4,2,4,2,3,3,3,3
24629,4,4,4,2,4,4,4,4,3,2,4,2,4,3,3,3
24630,3,3,1,3,1,3,3,3,3,2,4,3,4,4,4,4
24631,2,4,4,3,4,3,3,3,4,4,4,2,4,3,3,3
24632,3,3,3,3,3,3,3,4,3,2,3,4,3,4,3,3
24633,2,4,4,1,2,3,4,3,1,3,3,1,4,3,2,3
24634,3,4,4,4,4,4,2,3,3,3,3,4,3,2,2,4
24635,3,2,3,3,3,2,3,4,4,3,3,4,3,3,2,3
24636,4,3,3,3,2,4,4,4,3,4,3,2,4,4,1,4
24637,3,4,4,4,2,3,3,3,4,3,1,4,4,4,3,2
24638,3,4,3,2,4,4,4,4,4,3,4,3,4,3,2,4
24639,3,4,3,4,2,3,3,4,3,4,4,2,2,3,4,4
