Rank,title,year,rating
159,The Offer(2022),2022,8.5
160,Making a Murderer(2015),2015,8.5
161,Boardwalk Empire(2010),2010,8.5
162,Justified(2010),2010,8.5
163,Pose(2018),2018,8.5
164,The Newsroom(2012),2012,8.5
165,The Bugs Bunny Show(1960),1960,8.5
166,The Haunting of Hill House(2018),2018,8.5
167,Sa-rang-eui bul-shi-chak(2019),2019,8.5
168,The Eric Andre Show(2012),2012,8.5
169,The Queen's Gambit(2020),2020,8.5
170,Justice League(2001),2001,8.5
171,Formula 1: Drive to Survive(2019),2019,8.5
172,Dragon Ball: Doragon bôru(1986),1986,8.5
173,Flight of the Conchords(2007),2007,8.5
174,Impractical Jokers(2011),2011,8.5
175,Dragon Ball(1995),1995,8.5
176,Battlestar Galactica(2003),2003,8.5
177,Homicide: Life on the Street(1993),1993,8.5
178,The Rehearsal(2022),2022,8.5
179,Coupling(2000),2000,8.5
180,The Venture Bros,2003,8.5
181,Spaced(1999),1999,8.5
182,El Chavo del Ocho(1972),1972,8.5
183,Le Bureau des Légendes(2015),2015,8.5
184,Long Way Round(2004),2004,8.5
185,What We Do in the Shadows(2019),2019,8.5
186,"Yes, Prime Minister(1986)",1986,8.5
187,Samurai chanpurû(2004),2004,8.5
188,The IT Crowd(2006),2006,8.5
189,Senke nad Balkanom(2017),2017,8.5
190,Mr,2015,8.5
191,Louie(2010),2010,8.5
192,I'm Alan Partridge(1997),1997,8.5
193,The Office(2001),2001,8.5
194,The Family Man(2019),2019,8.5
195,Through the Wormhole(2010),2010,8.5
196,Whose Line Is It Anyway?(1998),1998,8.5
197,Letterkenny(2016),2016,8.5
198,Shameless(2011),2011,8.5
199,Samurai Jack(2001),2001,8.5
200,Spartacus: Blood and Sand(2010),2010,8.5
201,Detectorists(2014),2014,8.5
202,Westworld(2016),2016,8.5
203,Mob Psycho 100(2016),2016,8.5
204,Ezel(2009),2009,8.5
205,Sons of Anarchy(2008),2008,8.5
206,Brass Eye(1997),1997,8.5
207,Endeavour(2012),2012,8.5
208,Skam(2015),2015,8.5
209,Shin seiki evangerion(1995),1995,8.5
210,North & South(2004),2004,8.5
211,I-sang-han byeon-ho-sa U-yeong-u(2022),2022,8.5
212,Doctor Who(2005),2005,8.5
213,Hagane no renkinjutsushi(2003),2003,8.5
214,Trailer Park Boys(2001),2001,8.5
215,Twin Peaks(2017),2017,8.5
216,Silicon Valley(2014),2014,8.5
217,Spartacus: Gods of the Arena(2011),2011,8.5
218,From the Earth to the Moon(1998),1998,8.5
219,Futurama(1999),1999,8.5
220,Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen(1999),1999,8.5
221,Mr Inbetween(2018),2018,8.5
222,Schitt's Creek(2015),2015,8.4
223,Hannibal(2013),2013,8.4
224,Umbre(2014),2014,8.4
225,Jujutsu Kaisen(2020),2020,8.4
226,The Expanse(2015),2015,8.4
227,Community(2009),2009,8.4
228,Cobra Kai(2018),2018,8.4
229,Regular Show(2009),2009,8.4
230,Chef's Table(2015),2015,8.4
231,Generation Kill(2008),2008,8.4
232,Chainsaw Man(2022),2022,8.4
233,Happy Valley(2014),2014,8.4
234,L'amica geniale(2018),2018,8.4
235,The Angry Video Game Nerd(2004),2004,8.4
236,The Night Of(2016),2016,8.4
237,Wentworth(2013),2013,8.4
238,Derry Girls(2018),2018,8.4
239,Alfred Hitchcock Presents(1955),1955,8.4
240,Shigatsu wa kimi no uso(2014),2014,8.4
241,Avrupa Yakasi(2004),2004,8.4
242,House of the Dragon(2022),2022,8.4
243,Big Little Lies(2017),2017,8.4
244,Southland(2009),2009,8.4
245,The Knick(2014),2014,8.4
246,Gintama(2005),2005,8.4
247,The Great British Bake Off(2010),2010,8.4
248,Black Books(2000),2000,8.4
249,Foyle's War(2002),2002,8.4
250,X-Men(1992),1992,8.4
